age_group,date,onsets,reported
0-14,2020-07-17,124.0,161.0
0-14,2020-07-18,137.0,86.0
0-14,2020-07-19,102.0,68.0
0-14,2020-07-20,171.0,158.0
0-14,2020-07-21,123.0,159.0
0-14,2020-07-22,114.0,154.0
0-14,2020-07-23,121.0,145.0
0-14,2020-07-24,112.0,134.0
0-14,2020-07-25,131.0,82.0
0-14,2020-07-26,90.0,47.0
0-14,2020-07-27,127.0,161.0
0-14,2020-07-28,117.0,134.0
0-14,2020-07-29,110.0,139.0
0-14,2020-07-30,95.0,131.0
0-14,2020-07-31,108.0,127.0
0-14,2020-08-01,162.0,68.0
0-14,2020-08-02,110.0,48.0
0-14,2020-08-03,100.0,128.0
0-14,2020-08-04,117.0,134.0
0-14,2020-08-05,118.0,159.0
0-14,2020-08-06,108.0,101.0
0-14,2020-08-07,96.0,140.0
0-14,2020-08-08,111.0,81.0
0-14,2020-08-09,90.0,36.0
0-14,2020-08-10,174.0,132.0
0-14,2020-08-11,98.0,137.0
0-14,2020-08-12,124.0,136.0
0-14,2020-08-13,113.0,133.0
0-14,2020-08-14,104.0,167.0
0-14,2020-08-15,121.0,75.0
0-14,2020-08-16,81.0,33.0
0-14,2020-08-17,130.0,155.0
0-14,2020-08-18,105.0,108.0
0-14,2020-08-19,98.0,151.0
0-14,2020-08-20,159.0,114.0
0-14,2020-08-21,119.0,140.0
0-14,2020-08-22,104.0,59.0
0-14,2020-08-23,114.0,57.0
0-14,2020-08-24,140.0,156.0
0-14,2020-08-25,144.0,134.0
0-14,2020-08-26,136.0,178.0
0-14,2020-08-27,118.0,174.0
0-14,2020-08-28,153.0,124.0
0-14,2020-08-29,102.0,71.0
0-14,2020-08-30,118.0,53.0
0-14,2020-08-31,149.0,153.0
0-14,2020-09-01,200.0,182.0
0-14,2020-09-02,139.0,174.0
0-14,2020-09-03,113.0,178.0
0-14,2020-09-04,104.0,137.0
0-14,2020-09-05,117.0,98.0
0-14,2020-09-06,106.0,40.0
0-14,2020-09-07,130.0,152.0
0-14,2020-09-08,99.0,160.0
0-14,2020-09-09,125.0,145.0
0-14,2020-09-10,137.0,140.0
0-14,2020-09-11,93.0,133.0
0-14,2020-09-12,91.0,104.0
0-14,2020-09-13,92.0,39.0
0-14,2020-09-14,118.0,152.0
0-14,2020-09-15,106.0,101.0
0-14,2020-09-16,86.0,44.0
0-14,2020-09-17,95.0,131.0
0-14,2020-09-18,118.0,155.0
0-14,2020-09-19,92.0,61.0
0-14,2020-09-20,163.0,39.0
0-14,2020-09-21,101.0,109.0
0-14,2020-09-22,90.0,113.0
0-14,2020-09-23,91.0,165.0
0-14,2020-09-24,81.0,129.0
0-14,2020-09-25,115.0,128.0
0-14,2020-09-26,104.0,74.0
0-14,2020-09-27,83.0,35.0
0-14,2020-09-28,121.0,129.0
0-14,2020-09-29,107.0,118.0
0-14,2020-09-30,110.0,136.0
0-14,2020-10-01,145.0,154.0
0-14,2020-10-02,110.0,130.0
0-14,2020-10-03,97.0,57.0
0-14,2020-10-04,75.0,36.0
0-14,2020-10-05,128.0,106.0
0-14,2020-10-06,131.0,134.0
0-14,2020-10-07,109.0,124.0
0-14,2020-10-08,113.0,140.0
0-14,2020-10-09,94.0,137.0
0-14,2020-10-10,135.0,59.0
0-14,2020-10-11,88.0,44.0
0-14,2020-10-12,141.0,124.0
0-14,2020-10-13,119.0,151.0
0-14,2020-10-14,112.0,137.0
0-14,2020-10-15,131.0,122.0
0-14,2020-10-16,121.0,155.0
0-14,2020-10-17,93.0,68.0
0-14,2020-10-18,137.0,42.0
0-14,2020-10-19,163.0,173.0
0-14,2020-10-20,199.0,180.0
0-14,2020-10-21,133.0,162.0
0-14,2020-10-22,137.0,178.0
0-14,2020-10-23,124.0,173.0
0-14,2020-10-24,100.0,85.0
0-14,2020-10-25,143.0,55.0
0-14,2020-10-26,136.0,186.0
0-14,2020-10-27,132.0,174.0
0-14,2020-10-28,112.0,145.0
0-14,2020-10-29,91.0,159.0
0-14,2020-10-30,81.0,105.0
0-14,2020-10-31,88.0,53.0
0-14,2020-11-01,147.0,38.0
0-14,2020-11-02,106.0,64.0
0-14,2020-11-03,152.0,165.0
0-14,2020-11-04,116.0,153.0
0-14,2020-11-05,112.0,146.0
0-14,2020-11-06,136.0,155.0
0-14,2020-11-07,99.0,66.0
0-14,2020-11-08,128.0,42.0
0-14,2020-11-09,159.0,162.0
0-14,2020-11-10,165.0,171.0
0-14,2020-11-11,126.0,157.0
0-14,2020-11-12,146.0,171.0
0-14,2020-11-13,107.0,176.0
0-14,2020-11-14,100.0,85.0
0-14,2020-11-15,120.0,46.0
0-14,2020-11-16,127.0,43.0
0-14,2020-11-17,153.0,176.0
0-14,2020-11-18,148.0,161.0
0-14,2020-11-19,129.0,162.0
0-14,2020-11-20,205.0,170.0
0-14,2020-11-21,137.0,90.0
0-14,2020-11-22,145.0,50.0
0-14,2020-11-23,214.0,210.0
0-14,2020-11-24,175.0,210.0
0-14,2020-11-25,203.0,195.0
0-14,2020-11-26,156.0,199.0
0-14,2020-11-27,160.0,219.0
0-14,2020-11-28,154.0,130.0
0-14,2020-11-29,150.0,55.0
0-14,2020-11-30,270.0,237.0
0-14,2020-12-01,278.0,243.0
0-14,2020-12-02,244.0,243.0
0-14,2020-12-03,208.0,263.0
0-14,2020-12-04,225.0,264.0
0-14,2020-12-05,241.0,153.0
0-14,2020-12-06,184.0,77.0
0-14,2020-12-07,309.0,327.0
0-14,2020-12-08,279.0,302.0
0-14,2020-12-09,288.0,333.0
0-14,2020-12-10,326.0,339.0
0-14,2020-12-11,227.0,298.0
0-14,2020-12-12,228.0,160.0
0-14,2020-12-13,197.0,77.0
0-14,2020-12-14,287.0,304.0
0-14,2020-12-15,254.0,316.0
0-14,2020-12-16,251.0,299.0
0-14,2020-12-17,238.0,286.0
0-14,2020-12-18,242.0,293.0
0-14,2020-12-19,203.0,163.0
0-14,2020-12-20,236.0,51.0
0-14,2020-12-21,238.0,329.0
0-14,2020-12-22,234.0,345.0
0-14,2020-12-23,224.0,286.0
0-14,2020-12-24,209.0,272.0
0-14,2020-12-25,209.0,47.0
0-14,2020-12-26,222.0,126.0
0-14,2020-12-27,210.0,74.0
0-14,2020-12-28,317.0,364.0
0-14,2020-12-29,261.0,345.0
