age_group,date,onsets,reported
60-79,2020-05-11,554.0,536.0
60-79,2020-05-12,500.0,477.0
60-79,2020-05-13,522.0,559.0
60-79,2020-05-14,489.0,546.0
60-79,2020-05-15,709.0,661.0
60-79,2020-05-16,536.0,434.0
60-79,2020-05-17,517.0,397.0
60-79,2020-05-18,711.0,688.0
60-79,2020-05-19,572.0,607.0
60-79,2020-05-20,846.0,665.0
60-79,2020-05-21,547.0,668.0
60-79,2020-05-22,675.0,659.0
60-79,2020-05-23,599.0,459.0
60-79,2020-05-24,576.0,414.0
60-79,2020-05-25,862.0,726.0
60-79,2020-05-26,637.0,725.0
60-79,2020-05-27,632.0,707.0
60-79,2020-05-28,729.0,726.0
60-79,2020-05-29,656.0,744.0
60-79,2020-05-30,659.0,572.0
60-79,2020-05-31,688.0,480.0
60-79,2020-06-01,1251.0,838.0
60-79,2020-06-02,716.0,750.0
60-79,2020-06-03,686.0,825.0
60-79,2020-06-04,753.0,824.0
60-79,2020-06-05,807.0,789.0
60-79,2020-06-06,868.0,608.0
60-79,2020-06-07,728.0,553.0
60-79,2020-06-08,925.0,940.0
60-79,2020-06-09,757.0,850.0
60-79,2020-06-10,1097.0,899.0
60-79,2020-06-11,746.0,875.0
60-79,2020-06-12,882.0,921.0
60-79,2020-06-13,739.0,647.0
60-79,2020-06-14,775.0,656.0
60-79,2020-06-15,1155.0,1029.0
60-79,2020-06-16,899.0,936.0
60-79,2020-06-17,781.0,913.0
60-79,2020-06-18,943.0,1013.0
60-79,2020-06-19,937.0,951.0
60-79,2020-06-20,1268.0,723.0
60-79,2020-06-21,759.0,600.0
60-79,2020-06-22,929.0,1033.0
60-79,2020-06-23,802.0,1045.0
60-79,2020-06-24,842.0,1014.0
60-79,2020-06-25,999.0,975.0
60-79,2020-06-26,1056.0,992.0
60-79,2020-06-27,792.0,746.0
60-79,2020-06-28,1079.0,695.0
60-79,2020-06-29,1039.0,1139.0
60-79,2020-06-30,1087.0,1056.0
60-79,2020-07-01,1447.0,1099.0
60-79,2020-07-02,1074.0,1030.0
60-79,2020-07-03,1109.0,1048.0
60-79,2020-07-04,941.0,759.0
60-79,2020-07-05,1079.0,666.0
60-79,2020-07-06,1168.0,1214.0
60-79,2020-07-07,1084.0,1200.0
60-79,2020-07-08,934.0,1149.0
60-79,2020-07-09,988.0,1053.0
60-79,2020-07-10,1541.0,1144.0
60-79,2020-07-11,971.0,809.0
60-79,2020-07-12,1039.0,695.0
60-79,2020-07-13,1207.0,1291.0
60-79,2020-07-14,989.0,1225.0
60-79,2020-07-15,1321.0,1333.0
60-79,2020-07-16,1041.0,1244.0
60-79,2020-07-17,1176.0,1275.0
60-79,2020-07-18,1148.0,855.0
60-79,2020-07-19,1007.0,776.0
60-79,2020-07-20,1563.0,1365.0
60-79,2020-07-21,932.0,1351.0
60-79,2020-07-22,980.0,1252.0
60-79,2020-07-23,970.0,1177.0
60-79,2020-07-24,1018.0,1277.0
60-79,2020-07-25,1182.0,801.0
60-79,2020-07-26,887.0,729.0
60-79,2020-07-27,1162.0,1264.0
60-79,2020-07-28,934.0,1211.0
60-79,2020-07-29,801.0,1136.0
60-79,2020-07-30,826.0,1156.0
60-79,2020-07-31,925.0,1059.0
60-79,2020-08-01,1325.0,725.0
60-79,2020-08-02,841.0,582.0
60-79,2020-08-03,968.0,1187.0
60-79,2020-08-04,761.0,1118.0
60-79,2020-08-05,897.0,1019.0
60-79,2020-08-06,793.0,989.0
60-79,2020-08-07,838.0,968.0
60-79,2020-08-08,889.0,721.0
60-79,2020-08-09,742.0,545.0
60-79,2020-08-10,1240.0,1081.0
60-79,2020-08-11,720.0,998.0
60-79,2020-08-12,725.0,936.0
60-79,2020-08-13,743.0,970.0
60-79,2020-08-14,872.0,952.0
60-79,2020-08-15,950.0,636.0
60-79,2020-08-16,721.0,526.0
60-79,2020-08-17,890.0,1011.0
60-79,2020-08-18,889.0,952.0
60-79,2020-08-19,775.0,944.0
60-79,2020-08-20,1317.0,963.0
60-79,2020-08-21,795.0,932.0
60-79,2020-08-22,708.0,587.0
60-79,2020-08-23,613.0,537.0
60-79,2020-08-24,860.0,1063.0
60-79,2020-08-25,956.0,989.0
60-79,2020-08-26,741.0,934.0
60-79,2020-08-27,752.0,943.0
60-79,2020-08-28,1015.0,949.0
60-79,2020-08-29,620.0,598.0
60-79,2020-08-30,755.0,514.0
60-79,2020-08-31,860.0,940.0
60-79,2020-09-01,1147.0,1042.0
60-79,2020-09-02,759.0,976.0
60-79,2020-09-03,740.0,959.0
60-79,2020-09-04,686.0,923.0
60-79,2020-09-05,822.0,556.0
60-79,2020-09-06,604.0,485.0
60-79,2020-09-07,784.0,879.0
60-79,2020-09-08,668.0,937.0
60-79,2020-09-09,665.0,877.0
60-79,2020-09-10,930.0,821.0
60-79,2020-09-11,649.0,800.0
60-79,2020-09-12,609.0,527.0
60-79,2020-09-13,543.0,434.0
60-79,2020-09-14,653.0,879.0
60-79,2020-09-15,740.0,710.0
60-79,2020-09-16,565.0,431.0
60-79,2020-09-17,619.0,873.0
60-79,2020-09-18,727.0,770.0
60-79,2020-09-19,685.0,534.0
60-79,2020-09-20,872.0,416.0
60-79,2020-09-21,661.0,832.0
60-79,2020-09-22,577.0,825.0
60-79,2020-09-23,553.0,819.0
60-79,2020-09-24,514.0,722.0
60-79,2020-09-25,772.0,728.0
60-79,2020-09-26,524.0,460.0
60-79,2020-09-27,596.0,398.0
60-79,2020-09-28,719.0,785.0
60-79,2020-09-29,651.0,759.0
60-79,2020-09-30,648.0,692.0
60-79,2020-10-01,1017.0,728.0
60-79,2020-10-02,681.0,707.0
60-79,2020-10-03,569.0,432.0
60-79,2020-10-04,551.0,343.0
60-79,2020-10-05,868.0,798.0
60-79,2020-10-06,597.0,786.0
60-79,2020-10-07,688.0,788.0
60-79,2020-10-08,734.0,767.0
60-79,2020-10-09,716.0,755.0
60-79,2020-10-10,1123.0,549.0
60-79,2020-10-11,675.0,446.0
60-79,2020-10-12,958.0,863.0
60-79,2020-10-13,806.0,940.0
60-79,2020-10-14,738.0,882.0
60-79,2020-10-15,1031.0,891.0
60-79,2020-10-16,890.0,921.0
60-79,2020-10-17,764.0,595.0
60-79,2020-10-18,886.0,533.0
60-79,2020-10-19,1002.0,1108.0
60-79,2020-10-20,1277.0,1160.0
60-79,2020-10-21,791.0,989.0
60-79,2020-10-22,848.0,1053.0
60-79,2020-10-23,819.0,1024.0
60-79,2020-10-24,717.0,696.0
60-79,2020-10-25,909.0,570.0
60-79,2020-10-26,998.0,1119.0
60-79,2020-10-27,836.0,1018.0
60-79,2020-10-28,894.0,1026.0
60-79,2020-10-29,708.0,915.0
60-79,2020-10-30,934.0,878.0
60-79,2020-10-31,754.0,593.0
60-79,2020-11-01,1248.0,479.0
60-79,2020-11-02,1018.0,719.0
60-79,2020-11-03,936.0,1105.0
60-79,2020-11-04,859.0,1034.0
60-79,2020-11-05,970.0,1016.0
60-79,2020-11-06,975.0,1030.0
60-79,2020-11-07,927.0,713.0
60-79,2020-11-08,916.0,602.0
60-79,2020-11-09,1117.0,1250.0
60-79,2020-11-10,1288.0,1218.0
60-79,2020-11-11,943.0,1126.0
60-79,2020-11-12,894.0,1139.0
60-79,2020-11-13,909.0,1114.0
60-79,2020-11-14,875.0,729.0
60-79,2020-11-15,1167.0,576.0
60-79,2020-11-16,1081.0,699.0
60-79,2020-11-17,1043.0,1265.0
60-79,2020-11-18,1122.0,1204.0
60-79,2020-11-19,1005.0,1163.0
60-79,2020-11-20,1674.0,1254.0
60-79,2020-11-21,902.0,766.0
60-79,2020-11-22,1009.0,703.0
60-79,2020-11-23,1256.0,1376.0
60-79,2020-11-24,1050.0,1298.0
60-79,2020-11-25,1357.0,1319.0
60-79,2020-11-26,1059.0,1327.0
60-79,2020-11-27,1169.0,1340.0
60-79,2020-11-28,1173.0,813.0
60-79,2020-11-29,1019.0,636.0
60-79,2020-11-30,1616.0,1461.0
60-79,2020-12-01,1964.0,1506.0
60-79,2020-12-02,1306.0,1489.0
60-79,2020-12-03,1291.0,1447.0
60-79,2020-12-04,1271.0,1424.0
60-79,2020-12-05,1422.0,951.0
60-79,2020-12-06,1152.0,754.0
60-79,2020-12-07,1600.0,1635.0
60-79,2020-12-08,1430.0,1635.0
60-79,2020-12-09,1480.0,1625.0
60-79,2020-12-10,1831.0,1603.0
60-79,2020-12-11,1418.0,1574.0
60-79,2020-12-12,1481.0,1144.0
60-79,2020-12-13,1199.0,739.0
60-79,2020-12-14,1701.0,1802.0
60-79,2020-12-15,1804.0,1755.0
60-79,2020-12-16,1385.0,1765.0
60-79,2020-12-17,1368.0,1682.0
60-79,2020-12-18,1638.0,1678.0
60-79,2020-12-19,1301.0,1060.0
60-79,2020-12-20,1780.0,875.0
60-79,2020-12-21,1477.0,1845.0
60-79,2020-12-22,1342.0,1764.0
60-79,2020-12-23,1371.0,1676.0
60-79,2020-12-24,1650.0,1470.0
60-79,2020-12-25,1661.0,752.0
60-79,2020-12-26,1497.0,1066.0
60-79,2020-12-27,1552.0,956.0
60-79,2020-12-28,1994.0,2093.0
60-79,2020-12-29,1473.0,2075.0
60-79,2020-12-30,1623.0,1918.0
60-79,2020-12-31,2009.0,1684.0
80+,2020-02-19,0.0,0.0
80+,2020-02-22,0.0,0.0
80+,2020-02-23,0.0,0.0
80+,2020-02-25,0.0,0.0
80+,2020-02-26,0.0,0.0
80+,2020-02-27,0.0,0.0
80+,2020-02-28,0.0,0.0
80+,2020-02-29,0.0,0.0
80+,2020-03-01,0.0,0.0
80+,2020-03-02,0.0,0.0
80+,2020-03-03,0.0,0.0
80+,2020-03-04,0.0,0.0
80+,2020-03-05,0.0,0.0
80+,2020-03-06,0.0,0.0
80+,2020-03-07,0.0,0.0
80+,2020-03-08,0.0,0.0
80+,2020-03-09,1.0,0.0
80+,2020-03-10,0.0,0.0
80+,2020-03-11,0.0,0.0
80+,2020-03-12,0.0,0.0
80+,2020-03-13,0.0,0.0
80+,2020-03-14,1.0,1.0
80+,2020-03-15,2.0,1.0
80+,2020-03-16,2.0,1.0
80+,2020-03-17,0.0,1.0
80+,2020-03-18,3.0,2.0
80+,2020-03-19,1.0,0.0
80+,2020-03-20,5.0,1.0
80+,2020-03-21,2.0,0.0
80+,2020-03-22,3.0,1.0
80+,2020-03-23,5.0,4.0
80+,2020-03-24,4.0,1.0
80+,2020-03-25,5.0,0.0
80+,2020-03-26,8.0,4.0
80+,2020-03-27,4.0,3.0
80+,2020-03-28,7.0,3.0
80+,2020-03-29,7.0,3.0
80+,2020-03-30,10.0,7.0
80+,2020-03-31,5.0,6.0
80+,2020-04-01,15.0,10.0
80+,2020-04-02,11.0,10.0
80+,2020-04-03,12.0,7.0
80+,2020-04-04,15.0,5.0
80+,2020-04-05,15.0,8.0
80+,2020-04-06,9.0,16.0
80+,2020-04-07,8.0,12.0
80+,2020-04-08,13.0,11.0
80+,2020-04-09,11.0,10.0
80+,2020-04-10,24.0,10.0
80+,2020-04-11,11.0,16.0
80+,2020-04-12,12.0,12.0
80+,2020-04-13,21.0,11.0
80+,2020-04-14,22.0,24.0
80+,2020-04-15,22.0,20.0
80+,2020-04-16,17.0,19.0
80+,2020-04-17,29.0,23.0
80+,2020-04-18,30.0,23.0
80+,2020-04-19,30.0,21.0
80+,2020-04-20,46.0,29.0
80+,2020-04-21,36.0,25.0
80+,2020-04-22,35.0,25.0
80+,2020-04-23,34.0,32.0
80+,2020-04-24,43.0,39.0
80+,2020-04-25,42.0,36.0
80+,2020-04-26,42.0,37.0
80+,2020-04-27,38.0,31.0
80+,2020-04-28,38.0,40.0
80+,2020-04-29,41.0,39.0
80+,2020-04-30,53.0,45.0
80+,2020-05-01,64.0,41.0
80+,2020-05-02,51.0,34.0
80+,2020-05-03,47.0,48.0
80+,2020-05-04,45.0,42.0
80+,2020-05-05,101.0,83.0
80+,2020-05-06,61.0,51.0
80+,2020-05-07,82.0,68.0
80+,2020-05-08,78.0,60.0
80+,2020-05-09,71.0,64.0
80+,2020-05-10,102.0,69.0
80+,2020-05-11,89.0,64.0
80+,2020-05-12,76.0,75.0
80+,2020-05-13,86.0,80.0
80+,2020-05-14,76.0,90.0
80+,2020-05-15,107.0,97.0
80+,2020-05-16,79.0,71.0
80+,2020-05-17,78.0,59.0
80+,2020-05-18,101.0,102.0
80+,2020-05-19,92.0,99.0
80+,2020-05-20,129.0,108.0
80+,2020-05-21,95.0,108.0
80+,2020-05-22,100.0,99.0
80+,2020-05-23,89.0,77.0
80+,2020-05-24,102.0,62.0
80+,2020-05-25,112.0,110.0
80+,2020-05-26,84.0,108.0
80+,2020-05-27,85.0,100.0
80+,2020-05-28,115.0,97.0
80+,2020-05-29,103.0,106.0
80+,2020-05-30,112.0,85.0
80+,2020-05-31,87.0,81.0
80+,2020-06-01,175.0,107.0
80+,2020-06-02,101.0,111.0
80+,2020-06-03,123.0,122.0
80+,2020-06-04,121.0,128.0
80+,2020-06-05,126.0,141.0
80+,2020-06-06,137.0,91.0
80+,2020-06-07,116.0,95.0
80+,2020-06-08,125.0,137.0
80+,2020-06-09,117.0,133.0
80+,2020-06-10,156.0,142.0
80+,2020-06-11,107.0,127.0
80+,2020-06-12,132.0,124.0
80+,2020-06-13,108.0,106.0
80+,2020-06-14,137.0,106.0
80+,2020-06-15,170.0,140.0
80+,2020-06-16,141.0,147.0
80+,2020-06-17,109.0,131.0
80+,2020-06-18,162.0,167.0
80+,2020-06-19,125.0,146.0
80+,2020-06-20,188.0,112.0
80+,2020-06-21,96.0,102.0
80+,2020-06-22,152.0,133.0
80+,2020-06-23,146.0,185.0
80+,2020-06-24,151.0,153.0
80+,2020-06-25,149.0,147.0
80+,2020-06-26,132.0,154.0
80+,2020-06-27,111.0,107.0
80+,2020-06-28,149.0,120.0
80+,2020-06-29,159.0,142.0
80+,2020-06-30,160.0,154.0
80+,2020-07-01,216.0,149.0
80+,2020-07-02,158.0,154.0
80+,2020-07-03,138.0,151.0
80+,2020-07-04,149.0,120.0
80+,2020-07-05,179.0,94.0
80+,2020-07-06,179.0,167.0
80+,2020-07-07,160.0,184.0
80+,2020-07-08,163.0,163.0
80+,2020-07-09,157.0,160.0
80+,2020-07-10,201.0,176.0
80+,2020-07-11,140.0,153.0
80+,2020-07-12,149.0,117.0
80+,2020-07-13,165.0,179.0
80+,2020-07-14,149.0,144.0
80+,2020-07-15,207.0,191.0
80+,2020-07-16,172.0,182.0
80+,2020-07-17,192.0,173.0
80+,2020-07-18,159.0,143.0
80+,2020-07-19,162.0,137.0
80+,2020-07-20,265.0,194.0
80+,2020-07-21,154.0,198.0
80+,2020-07-22,181.0,203.0
80+,2020-07-23,150.0,212.0
80+,2020-07-24,163.0,165.0
80+,2020-07-25,181.0,155.0
80+,2020-07-26,147.0,121.0
80+,2020-07-27,175.0,219.0
80+,2020-07-28,151.0,175.0
80+,2020-07-29,111.0,174.0
80+,2020-07-30,148.0,197.0
80+,2020-07-31,146.0,172.0
80+,2020-08-01,222.0,139.0
80+,2020-08-02,119.0,109.0
80+,2020-08-03,136.0,165.0
80+,2020-08-04,137.0,171.0
80+,2020-08-05,158.0,168.0
80+,2020-08-06,132.0,166.0
80+,2020-08-07,146.0,138.0
80+,2020-08-08,149.0,114.0
80+,2020-08-09,113.0,107.0
80+,2020-08-10,175.0,180.0
80+,2020-08-11,119.0,154.0
80+,2020-08-12,125.0,152.0
80+,2020-08-13,121.0,158.0
80+,2020-08-14,140.0,129.0
80+,2020-08-15,164.0,107.0
80+,2020-08-16,116.0,99.0
80+,2020-08-17,143.0,160.0
80+,2020-08-18,135.0,158.0
80+,2020-08-19,127.0,134.0
80+,2020-08-20,179.0,136.0
80+,2020-08-21,133.0,154.0
80+,2020-08-22,107.0,96.0
80+,2020-08-23,132.0,108.0
80+,2020-08-24,145.0,172.0
80+,2020-08-25,136.0,133.0
80+,2020-08-26,107.0,131.0
80+,2020-08-27,116.0,147.0
80+,2020-08-28,131.0,144.0
80+,2020-08-29,95.0,106.0
80+,2020-08-30,113.0,100.0
80+,2020-08-31,140.0,164.0
80+,2020-09-01,154.0,129.0
80+,2020-09-02,101.0,135.0
80+,2020-09-03,104.0,140.0
80+,2020-09-04,122.0,117.0
80+,2020-09-05,124.0,98.0
80+,2020-09-06,101.0,87.0
80+,2020-09-07,100.0,115.0
80+,2020-09-08,114.0,134.0
80+,2020-09-09,93.0,129.0
80+,2020-09-10,142.0,111.0
80+,2020-09-11,98.0,112.0
80+,2020-09-12,73.0,85.0
80+,2020-09-13,84.0,77.0
80+,2020-09-14,115.0,121.0
80+,2020-09-15,131.0,110.0
80+,2020-09-16,101.0,80.0
80+,2020-09-17,102.0,135.0
80+,2020-09-18,112.0,119.0
80+,2020-09-19,100.0,81.0
80+,2020-09-20,127.0,88.0
80+,2020-09-21,117.0,114.0
80+,2020-09-22,92.0,110.0
80+,2020-09-23,88.0,146.0
80+,2020-09-24,85.0,129.0
80+,2020-09-25,100.0,102.0
80+,2020-09-26,71.0,66.0
80+,2020-09-27,95.0,80.0
80+,2020-09-28,118.0,116.0
80+,2020-09-29,97.0,117.0
80+,2020-09-30,109.0,122.0
80+,2020-10-01,141.0,97.0
80+,2020-10-02,110.0,89.0
80+,2020-10-03,94.0,87.0
80+,2020-10-04,98.0,85.0
80+,2020-10-05,117.0,108.0
80+,2020-10-06,94.0,121.0
80+,2020-10-07,125.0,121.0
80+,2020-10-08,113.0,109.0
80+,2020-10-09,106.0,107.0
80+,2020-10-10,178.0,97.0
80+,2020-10-11,99.0,94.0
80+,2020-10-12,138.0,139.0
80+,2020-10-13,110.0,135.0
80+,2020-10-14,112.0,123.0
80+,2020-10-15,151.0,136.0
80+,2020-10-16,124.0,118.0
80+,2020-10-17,129.0,95.0
80+,2020-10-18,121.0,98.0
80+,2020-10-19,141.0,156.0
80+,2020-10-20,192.0,173.0
80+,2020-10-21,138.0,135.0
80+,2020-10-22,118.0,134.0
80+,2020-10-23,135.0,125.0
80+,2020-10-24,107.0,108.0
80+,2020-10-25,142.0,96.0
80+,2020-10-26,138.0,170.0
80+,2020-10-27,106.0,136.0
80+,2020-10-28,132.0,148.0
80+,2020-10-29,98.0,151.0
80+,2020-10-30,108.0,122.0
80+,2020-10-31,108.0,88.0
80+,2020-11-01,173.0,82.0
80+,2020-11-02,132.0,112.0
80+,2020-11-03,121.0,117.0
80+,2020-11-04,132.0,151.0
80+,2020-11-05,145.0,134.0
80+,2020-11-06,123.0,139.0
80+,2020-11-07,145.0,84.0
80+,2020-11-08,104.0,110.0
80+,2020-11-09,163.0,188.0
80+,2020-11-10,191.0,176.0
80+,2020-11-11,157.0,162.0
80+,2020-11-12,154.0,148.0
80+,2020-11-13,158.0,160.0
80+,2020-11-14,140.0,122.0
80+,2020-11-15,175.0,122.0
80+,2020-11-16,151.0,140.0
80+,2020-11-17,156.0,183.0
80+,2020-11-18,168.0,176.0
80+,2020-11-19,136.0,167.0
80+,2020-11-20,248.0,145.0
80+,2020-11-21,156.0,126.0
80+,2020-11-22,150.0,137.0
80+,2020-11-23,177.0,181.0
80+,2020-11-24,141.0,223.0
80+,2020-11-25,183.0,189.0
80+,2020-11-26,132.0,191.0
80+,2020-11-27,188.0,183.0
80+,2020-11-28,162.0,121.0
80+,2020-11-29,136.0,130.0
80+,2020-11-30,215.0,174.0
80+,2020-12-01,266.0,205.0
80+,2020-12-02,172.0,195.0
80+,2020-12-03,177.0,161.0
80+,2020-12-04,198.0,197.0
80+,2020-12-05,202.0,141.0
80+,2020-12-06,174.0,140.0
80+,2020-12-07,184.0,180.0
80+,2020-12-08,180.0,235.0
80+,2020-12-09,205.0,225.0
80+,2020-12-10,260.0,231.0
80+,2020-12-11,198.0,219.0
80+,2020-12-12,217.0,158.0
80+,2020-12-13,168.0,124.0
80+,2020-12-14,232.0,238.0
80+,2020-12-15,240.0,203.0
80+,2020-12-16,207.0,230.0
80+,2020-12-17,209.0,245.0
80+,2020-12-18,229.0,230.0
80+,2020-12-19,180.0,156.0
80+,2020-12-20,288.0,164.0
80+,2020-12-21,196.0,255.0
80+,2020-12-22,195.0,226.0
80+,2020-12-23,235.0,262.0
80+,2020-12-24,222.0,214.0
80+,2020-12-25,250.0,146.0
80+,2020-12-26,200.0,167.0
80+,2020-12-27,264.0,180.0
80+,2020-12-28,302.0,299.0
80+,2020-12-29,250.0,250.0
80+,2020-12-30,252.0,278.0
80+,2020-12-31,257.0,226.0
0-14,2021-01-01,0.0,50.0
0-14,2021-01-02,0.0,67.0
0-14,2021-01-03,0.0,29.0
0-14,2021-01-04,0.0,119.0
0-14,2021-01-05,0.0,104.0
0-14,2021-01-06,0.0,46.0
0-14,2021-01-07,0.0,34.0
0-14,2021-01-08,0.0,18.0
0-14,2021-01-09,0.0,11.0
0-14,2021-01-10,0.0,2.0
0-14,2021-01-11,0.0,6.0
0-14,2021-01-12,0.0,7.0
0-14,2021-01-13,0.0,2.0
0-14,2021-01-14,0.0,1.0
0-14,2021-01-15,0.0,1.0
0-14,2021-01-16,0.0,0.0
0-14,2021-01-17,0.0,0.0
0-14,2021-01-18,0.0,0.0
0-14,2021-01-19,0.0,1.0
0-14,2021-01-20,0.0,1.0
0-14,2021-01-21,0.0,0.0
0-14,2021-01-22,0.0,0.0
0-14,2021-01-23,0.0,0.0
0-14,2021-01-24,0.0,0.0
15-59,2021-01-01,0.0,1797.0
15-59,2021-01-02,0.0,3740.0
15-59,2021-01-03,0.0,2274.0
15-59,2021-01-04,0.0,6823.0
15-59,2021-01-05,0.0,4670.0
15-59,2021-01-06,0.0,3215.0
15-59,2021-01-07,0.0,2151.0
15-59,2021-01-08,0.0,1328.0
15-59,2021-01-09,0.0,462.0
15-59,2021-01-10,0.0,231.0
15-59,2021-01-11,0.0,476.0
15-59,2021-01-12,0.0,353.0
15-59,2021-01-13,0.0,225.0
15-59,2021-01-14,0.0,172.0
15-59,2021-01-15,0.0,82.0
15-59,2021-01-16,0.0,17.0
15-59,2021-01-17,0.0,11.0
15-59,2021-01-18,0.0,39.0
15-59,2021-01-19,0.0,31.0
15-59,2021-01-20,0.0,28.0
15-59,2021-01-21,0.0,29.0
15-59,2021-01-22,0.0,54.0
15-59,2021-01-23,0.0,4.0
15-59,2021-01-24,0.0,18.0
60-79,2021-01-01,0.0,796.0
60-79,2021-01-02,0.0,1070.0
60-79,2021-01-03,0.0,822.0
60-79,2021-01-04,0.0,1377.0
60-79,2021-01-05,0.0,1026.0
60-79,2021-01-06,0.0,797.0
60-79,2021-01-07,0.0,605.0
60-79,2021-01-08,0.0,420.0
60-79,2021-01-09,0.0,226.0
60-79,2021-01-10,0.0,187.0
60-79,2021-01-11,0.0,166.0
60-79,2021-01-12,0.0,150.0
60-79,2021-01-13,0.0,81.0
60-79,2021-01-14,0.0,64.0
60-79,2021-01-15,0.0,26.0
60-79,2021-01-16,0.0,13.0
60-79,2021-01-17,0.0,5.0
60-79,2021-01-18,0.0,3.0
60-79,2021-01-19,0.0,8.0
60-79,2021-01-20,0.0,5.0
60-79,2021-01-21,0.0,2.0
60-79,2021-01-22,0.0,6.0
60-79,2021-01-23,0.0,0.0
60-79,2021-01-24,0.0,3.0
80+,2021-01-01,0.0,165.0
80+,2021-01-02,0.0,168.0
80+,2021-01-03,0.0,131.0
80+,2021-01-04,0.0,195.0
80+,2021-01-05,0.0,139.0
80+,2021-01-06,0.0,113.0
80+,2021-01-07,0.0,96.0
80+,2021-01-08,0.0,51.0
80+,2021-01-09,0.0,45.0
80+,2021-01-10,0.0,16.0
80+,2021-01-11,0.0,21.0
80+,2021-01-12,0.0,22.0
80+,2021-01-13,0.0,21.0
80+,2021-01-14,0.0,8.0
80+,2021-01-15,0.0,3.0
80+,2021-01-16,0.0,3.0
80+,2021-01-17,0.0,0.0
80+,2021-01-18,0.0,1.0
80+,2021-01-19,0.0,0.0
80+,2021-01-20,0.0,0.0
80+,2021-01-21,0.0,3.0
80+,2021-01-22,0.0,2.0
80+,2021-01-23,0.0,0.0
80+,2021-01-24,0.0,0.0
